,content
24,"Keren, bukan sulap bukan sihir saya merasa ada peningkatan setelah selama aku menggunakan ruang guru, sebenarnya aku sudah menggunakan ruang guru kurang lebih selama 1 tahun, tapi baru rate sekarang, untuk kedepannya lagi semoga bisa lebih giat lagi belajarnya...🗿🗿🗿"
25,"Patut rekomendasi deh teman teman , semenjak aku pake ruang guru nilai aku jadi lebih bagus , kalian juga bisa nyobain braind Academy online selain ada teacher nya kita juga bisa bertemu dengan banyak teman teman diseluruh dunia , materi dan soalnya juga mudah dipahami pokonya beda deh dari bimbel yang lain , kalian harus download aplikasi ini"
26,"Suka bngt dngn penjelasannya perlahan"" tpi bisa masuk ke otak dan jelass🥰. Terimakasih Ruang guru ☺️"
27,"Bermanfaat banget buat aku apalagi buat aku yang susah buat memahami materi, dengan menggunakan aplikasi ruangguru aku jadi semangat dalam belajar. Makasih ruang guru aku makin suka dengan aplikasi ini"
28,"Saya suka bngt sama ruang guru, tpi pas di kasih pesan dri kakak² gitu bingung mau jawab apa😭"
29,"Keren banget! Aplikasi belajar nomor 1 di Indonesia yang sangat membantu siswa untuk memahami konsep pelajaran dengan cepat. Ayo segera berlangganan ruang guru! Saya sudah berlangganan sejak sebelum pandemi, dan ruang guru telah membantu saya selama pembelajaran daring(online). Fitur-fitur yang disediakan juga sangat banyak dan bermanfaat mulai dari ruang uji, ruang les online, ruangguru adventure,dll. Ayo apalagi segera berlangganan?? Gunakan kode ""ENRICORGCODE"" dan dapatkan diskonnya:)"
30,Aplikasi ini bagus untuk belajar kalau kalian Ndak download pasti nyesel deh ayo buruan download
31,"Aplikasi ini bagus banget looo buat belajar di rumah,semenjak aku pakek aplikasi ini aku jadi paham untuk mengerjakan ujianlooo. Ayo buruan kamu coba aplikaasi ini!"
32,"Dulunya saya ini belum dapat bimbel online di Indonesia jarang banget ya.maka dari situ, saya download app ruang guru yang sesuai dengan iklan di televisi.setelah itu, saya terkesan banget sama ruang guru squad.yang penting adalah pendidikan.go on my way!"
33,"Bener bener best sih ruangguru, apalagi di masa pandemi ini. Tapi banyak Konsep Kilat yang belum ada rangkuman catatannya, semoga segera dibuat ya rangkuman konsep kilat yang lainnya. Dan saat mau download rangkuman ke galeri, rangkumannya ngak berurutan (misal halaman 1-6-5-8-12 dst)"
34,"Ruangguru adalah aplikasi belajar keren dan bagus banget, penjelasan dari guru nya sangat bagus, lengkap dan mudah dipahami, Banyak fitur keren dan menarik di ruangguru, jadi belajar tidak terasa membosankan, pokoknya keren, dijamin ga nyesel buat download ruangguru, menjadi pintar ga perlu ribet 👍, belajar aja diruangguru, sukses terus ruangguru."
35,"Semua materi ada, untuk semua kurikulum.. Terus ya.. penjelasannya mudah dipahami kalau udah paham dan ada semua materinya apalagi yang kurang coba?? Dan karena ada semuanya jadinya aku tau lebih banyak daripada yang di sekolah.. Dan... MURAH gaesss... Jujur.. aku suka banget apalagi animasinya cantik.. Saranghae..❤️"
36,"Bagus banget😭😭.. gak nyesel sih udah berlangganan di ruangguru.. kk""nya ramah"" bangettt.. fitur di ruangguru lengkap banget mulai dari video pembahasan materi, video pembahasan soal, bank soal, tryout, jadwal, perkembangan belajar dan yang paling aku suka KONSEP KILAT. berguna banget kalo emg waktu lagi mepet atau besok lagi ada ujian dan pasti bakal berguna banget buat yang cepat tanggap (buat yang suka lemot bisa pake video pembahasan materi ajh pasti ngerti:).. pokoknya the best ruangguru🥰"
37,"Hi RG! Aplikasi yang bermanfaat banget tentunya. Lengkap dan komplit banget! Materinya cepat masuk juga banyak latihan soal! selama pandemi sangat membantu banget. Oiya, kemarin sempat mengalami kendala kurang mengenakkan, tapi team customer service ruang guru gercep banget langsung bantu menangani! Thanks Ruangguru, sukses selalu!"
38,"Kakak seniorkuh, jujur aku benci banget belajar (awalnya ya) Dan aku juga pernah langganan ruangguru 2 semester tapi ngga aku pakai. Dan aku juga waktu PJJ (belajar online) ini sering banget ngga ngerjain tugasku. Sampai bertumpuk banget. Dan aku juga awalnya ngga suka liat Kak Belva. Tapiiii, setelah aku coba buka ruangguru buat belajar lagi. Ternyata aku jadi jatuh cinta banget sama Belajar dan Kak Belvanya, hihiw:)) Saran kak, aplikasi ruangguru nya bisa rotasi otomatis yah kak. Terima gaji:"
39,Bagus banget !!!! Yahahahahaha Hayuukkkk #Niruinbocilygkomengakjelas
40,"Baguss banget banget bangettt! Harus di download, ngebantu banget buat sekolah daring di masa pendemi gni. Pokoknya harus download, klo gk download nyesal deh hehehe"
41,Woww!! Aplikasi yg sangat bagus memudahkan kita belajar dimana saja dan kapan saja 👍👍
42,"Aplikasi ruangguru di android emang mantap banget, tapi tolong dong yang di pc (laptop atau komputer) dicanggihin lagi, kalo bisa sebanding sama di android, seperti buka materi (bab) akhir, trus buka vidio dan rangkuman , pas kembali malah nampilin materi (bab) paling awal, jadikan cari lagi materi yang selanjutnya (scroll kebawah lagi). Maaf klo agak kurang jelas, tpi yang lain udah oke Udah lebih baik sekarang terimakasih"
43,"Bagus banget keren apk nya bikin aku jadi semangat belajar!!dan gaada alesan lagi buat males belajar karena sekarang belajarnya udah bisa lewat hp cocok banget nih buat yang males baca,setelah berlangganan di ruangguru nilai aku juga meningkat"
44,Sangat bagus dan sangat membantu dalam belajar semuanya lengakp dan nga bosan kalo belajar soalnya dapat teman belajar yg lucu gitu deh Pokok nya bagus banget apalagi kalo mau ujian sekolah semuanya lengakp Mksh Ruang Guru....
45,Untuk aplikasinya sepertinya sudah cukup bagus. Saran saya apakah bisa ditambahkan mode malam? Hehehe😂😂. Supaya mungkin lebih enak jika dilihat di tempat yang tidak terlalu bercahaya atau pada saat malam hari. Terimakasih~~
46,"Applikasi yang keren dan rekomend banget 👍 Materinya mudah dipahami dan banyak video2 yang bagus dan menarik. Apalagi master teacher nya keren parah jelasinnya. Belajar jadi lebih mudah, yang dulu selalu enggak paham sama materi, sekarang jadi lebih paham. Pokoknya be dbest lah 🥳🤗. Bintang 5 buat ruang guru no debat. 😘"
47,"{Hai , disini saya ingin menyampaikan ulasan menurut saya tentang Ruangguru} . •⭐Ulasan: - Ruangguru aplikasi nya menarik dan memebantu untuk belajar (≧▽≦) •⭐ Ulasan-2: Video nya loading terus , tolong di update/dibenarkan ya Ruangguru . Tetapi app ini memang sangat membantu dan menyenangkan (｡•̀ᴗ-)✧"
48,"Aplikasi Ruang guru memiliki interface yang menarik dan navigasi yang mudah, dengan warna yang mendominasi yaitu biru dan putih, pada bagian menu memiliki 4 menu utama yaitu Home, Pembelian, Akun user, dan menu lainnya, pada bagian fitur dan layanan ruang guru telah menyediakan seluruh mata pelajaran yang dapat dipilih. Ruang guru juga menggunakan sistem point didalamnya, serta terdapat juga paket berlangganan. Intinya Ruang Guru memiliki fitur2 dan fasilitas yang sangat lengkap."
49,Karena ruang guru saya bisa mendapatkan ranking di sekolah saya terimakasih ruang guru🥰🥰🥰
50,"penjelasannya cukup bagus dan runtut! menyesal baru akhir2 ini rajin menggunakan aplikasi ini hihi. saran, ditambahkan fitur 'previous' di rangkuman ya kak! biar bisa kembali ke rangkuman sebelumnya tanpa perlu kembali hihi. terima kasih ruang guru🙌"
51,"Bagus banget, karena bikin mandiri dan makin cepat paham Terima kasih Ruang guru😘"
52,"Aku kasih bintang lima deh,karna menurut aku,ruang guru bukan hanya media belajar,tapi juga tempat untuk saling berbagi informasi dan cerita di antara ruang guru squad nya. Staf pengajar maupun kakak admin ny juga baik, jadi bikin kita lebih nyaman dalam belajar nya........."
53,"Penjelasannya lengkap dan mudah di fahami. Kemudian terdapat poin poin tambahan yang sekiranya kurang diajarkan di sekolah. Kebetulan saya alumni pengguna ruang guru, Alhamdulillah berkat ruang guru juga saya bisa masuk Fakultas Kedokteran dengan IPK stabil di angka 3 sebagaimana faktanya saat saya bersekolah di SMA saya di nasihati oleh guru saya bahwa saya mustahil untuk masuk di fakultas tersebut karena nilai saya sebelumnya biasa-biasa saja. Kurang lebihnya mohon maaf dan terimakasih."
54,"Semakin update, semakin suka sama aplikasi ruangguru 😍🤩, tampilan & fitur barunya semakin mantap 👍👍 hanya saja di fitur bank soal/soal biasa kadang ada yang jawabannya salah (jawaban tidak sesuai dengan pembahasan, khususnya saya yg kelas Ⅹ IPA) mohon di perbaiki ya min. Selebihnya, ah mantap... #suksesterusruangguru"
55,"Saya sdh berlangganan paket Ruangbelajar cukup lama (sekitar 1 tahun) dan benar2 terasa perubahan dan perkembangan saya dalam belajar. Di Ruangguru, materi yg diberikan pembahasannya mendalam dan beranimasi, sehingga kita tdk bosan utk menonton videonya... Ditambah rangkuman infografis yg ciamik & bank soal super lengkap yg bisa sy kerjakan... Tapi semenjak update dr Ruangguru, kok yg fitur berbagi rangkuman sdh tdk ada yaa? Yg kita bisa bagi2 rangkuman temen🤔 Tolong ditambahkan lgi yaa min 😀"
56,Sangat susah untuk pemulaaaaaaaaàaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
57,"Sekarang Ruangguru Seperti Main Game🐧 Seru Loh,banyak Fitur Baru,Dan Yg Pasti Kalian Harus Download Apk Ruangguru"
58,"Aplikasi ini bagus bangeeeeeeeettttttt....... Oiya perkenalkan nama aku Winda , aku kasih bintang lima soalnya waktu aku dikasih soal online dari sekolah di masa pandemi ini aku cuma dapet nilai 60 😓doang tapi pas aku liat vidio dari ""RUANG GURU"" aku jadi ngerti cara nyelesaiin soal dan aku dapet nilai 100😃 makasih ya buat RUANG GURU semoga perusahaannya semakin sukses..... TERIMAKASIH BANYAK..😁😁😁😁😁"
59,"Terima Kasih ruangguru sangat membantu untuk pengembangan belajar kami, karena video beranimasi dan mudah dipahami. Apalagi master teacernya menerangkan pelajaran secara singkat, jelas, dan mudah dipahami serta banyak bank soalnya. Buruan donwload ruangguru agar belajar asyik dan ada diskon lho"
60,"Assalamualaikum. Nama saya cinta, maaf saya mau tanya knp video2 belajar ruangguru di hp saya kekunci semua ya? Padahal saya sudah berlangganan kurang lebih 2 tahun dan sudah daftar berlangganan sampai 2022, tapi pas saya mau belajar malah kekunci semua dan malah disuruh berlangganan lagi. Mohon bantuannya ya🙏"
61,"Terimakasih Ruang Guru telah menanggapi keluhan saya. Untuk customer servicenya the best lah. video interface yang barunya lebih baik, video buffernya makin kecil, dan tombol videonya pun lebih baik dan tidak meleset lagi Semoga ada pendeteksi progress download bawaan dari apk nya jadi gak ada kendala download lagi"
62,Aplikasi nya bagus untuk belajar tapi sayang nya ga lengakap kaya ga ada mata pelajaran yang lebih bisa wawasan mata pelajaran yg ga ada di ruang guru PPKn bahasa Sunda dan pelajaran agama Islam (PAI) udah itu doang mata pelajaran yg blm komplit sekali mohon y untuk ruanggguru di tunggu y fitur barunya👍🙏
63,"Untuk pelajaran IPS, B. Indo, B. Inggris. Ok banget Tapi pelajaran Matematika, Fisika, Biology kadang agak kurang di beberapa videonya Karena cuma dikasih tau rumusnya doang, bukan dari mana rumus itu didapat. Tapi juga ok"
64,"Ka, kok setelah diperbarui hasil downloadnya ilang semua. Udah gitu total pemakaian memory yang tertera di aplikasi tetep 3gb+ (hasil download). Tapi ketika aku cek video yang seharusnya udah aku download, justru belum terdownload. :("
65,Aplikasi nya Sangat membantu saya dalam belajar dan mengulang materi pelajaranya
66,"Baru 3 hari langganan di ruangguru videonya nambah seru aja jadi makin suka, sekali nonton videonya jadi pengen nonton lagi soalnya animasinya keren dan pembahasannya mudah dipahami lagi. Apalagi kuisnya seru dan ga ngebosenin misalnya kalo jawaban kalian salah pasti ada pembahasaannya, ditambah juga kakak kakaknya seru semua jadi makin suka. Pokoknya kalian wajib download aplikasi ruangguru! Salam langganan baru🤭"
67,"akhirnya nemu aplikasi yg bnr² video nya cpt dimengerti+mapel nya lengkap, kalian jg kalo ga berlangganan ada juga yg gratis pake aja itu, semoga aja aku di semester ini peringkat 1 lagi😭💖🌷"
68,"Aplikasi ini rekomen banget khususnya buat yang lagi persiapan buat utbk,, tapiii masalahnya kok pas saya berlangganan paket yang satu semester + kuota, itu koutanya engga dapat sama sekali padahal saya udah tunggu hampir 2 minggu. setelah saya sampaikan keluhan saya malah cuma dibalas permintaan anda sedang tangani, masa lama banget sih ditanganinya udah berhari hari lho."
69,Hai...namaku calista...aku pake hpnya ayahku.... Pas aku kls.1 aku rengkeng 1 tp pas kls.2 aku jd rengkeng 6 soalnya banyakan main....trs mamahku dlownotin ruangguru....sejak aku pake ruangguru dan les lain aku bisa rengkeng 1 dr kls 2 semester 2 sampe kls 5 semester 1
70,Aku langganan di ruang guru baru 2th pas SMP nilai aku melonjak naik bngt. Nah pas smk ini aku langganan lagi sempet down karna MLS belajar dan akhir nya karna ujian tengah semester aku belajar lagi dan sempet aku perbarui eh ternyata aku ketinggalan jaman karna ada dragon:v dan bikin aku tambah semangat buat belajar. Makasih ruang guru sangat membantu:')
71,"Kak aku suka banget fitur Konsep Kilat nya👏🏻❤❤, belajar jadi lebih efektif saat masa-masa ujian seperti ini!! Pokoknya bagus banget, nyesel gak belajar di sini❤ Kalau bisa di tambah terus ya Konsep Kilat nya, Bank Soal juga 👏🏻"
72,MAKASIH BANGET! dari dulu saya selalu tidak fokus dengan pelajaran² yang ada di sekolah.. tapi dengan aplikasi ini saya jadi bisa lebih teliti.. dengan animasi dan penjelasan yang bagus membuat saya termotivasi dan menjadi lebih fokus.. pokoknya bintang 5 deh buat aplikasi ini 😄⭐⭐⭐⭐⭐
73,"Berguna bagi yang semua untuk membutuhkan materi lebih dalam mudah di fahami di banding dari biasanya yang di pelajari di sekolah , untuk mengerjakan soal ini tidak jauh dari ujian yang di dapatkan dari sekolah:D"
74,"Dulu sebelum ke Ruang guru, aku susah banget belajarnya pembahasannya sedikit. Tapi sekarang nyoba Ruang guru dan berlangganan mulai kerasa perubahannya. Soal² yang dulunya susah sekarang jadi mudah berkat Ruang guru. Terima kasih Ruang guru 😊"
75,"Saya suka dengan metode pembelajarannya mudah dan cepat. Dan lebih suka lagi yaitu fitur konsep kilatnya, cepat, mudah dipahami dan dan kita jadi lebih interaktif dalam belajar. kelemahannya: bertele-tele(ini menurut pendapat pribadi)"
76,"Hai, RG Kenapa yaa ruang guru gak bisa di buka dan selalu berhenti ? Di update gak bisa jadi harus bolak balik uninstall dan instal lagi, jadi belajar nya terkenda. Tapi Ruang guru udah bagus kok, cuma itu aja selalu gak bisa di buka ."
77,"Aplikasi ini membantu bangett! Buat kalian yang susah belajar terus pengen cari tempat buat LES kalian? Etss kalian ga usah ribet2 cari LES official lagi sekarang udah ada RUANGGURU yang mempunyai fasilitas terbaik buat kamu! Buat yang ga tau aplikasi ini, aplikasi ini adalah bimbel online belajar dan juga mempunyai gambar animasi yang sangat lucu lho! Kalau kamu pengen lebih mengerti tentang aplikasi RUANGGURU ini langsung aja kamu download yahh! Semangattt💪💪☺️☺️"
78,Tampilan homepage Ruangguru nya bagus banget. Terutama pada tampilan ruangbelajarnya. Pokoknya bikin semangat belajar deh. Fitur2nya juga lengkap banget. Dijamin nggak akan nyesel deh kalo berlangganan Ruangguru #hidupkanmimpimu
79,"Saya suka bngt dengan aplikasi ini maka nya saya kasih bintang lima. Aplikasi ini bermanfaat bngt buat pelajar. Di karena vidionya mudah bngt di pahamin, vidionya juga engga bikin bosenin di karena kan vidionya ber animasi dan abis nonton vidio langsung ada quiz nya jadi engga lupa deh apa yang tadi kita nonton.TERIMA KASIH BANYAK RUANG GURU🥰 SEMOGA SUKSES TERUS RUANG GURU Aaminn😊🙏."
80,"Hallo buat para semua crew ruang guru. Saya menyarankan untuk tidak selalu memaksa untuk membeli. paket Ruangguru Karena saya sudah mendapatkan notifikasi 3 kali. saya menyarankan, untuk tidak terlalu memaksa."
81,Bagus untuk belajar tapi kok pelajaran bahasa inggris bayar lalu ppkn dan ipsnya tidak ada dan kenapa bahasa indonesia harus dengan ipa boleh bikin gratis untuk akun baru untuk 1 bulan ?? Terimakasih
82,"Maaf yg kemarin itu sudh teratasi ko, Oh ya untuk Ruang Guru terutama ruang belajar makasih dah bantu aku & aku mau cerita sedikit pengalaman belajar yg menyenangkan di Ruang guru, sebelum aku knl ruang guru dn langganan tuh belajar rasa bikin ngantuk dn bosen karna materi yg dikasi Setumpuk(banyak) banget sampe binggung yg mana dlu yg harus dipelajari tapi setelah langganan ruang belajar nilai aku meningkat & makin semangat belajar karna video animasi yg seru banget 😆😆😆 pokonya best banget"
83,Ruangguru sangat membantuku dalam belajar setiap aku tidak masuk sekolah pastikan tidak ikut pelajaran.... Dan aku belajar ruangguru ternyata materinya sama yang di terangkan guruku 😊aku jadi seneng deh..😍 Makasih RUANGGURU😊
84,Aplikasinya bagus banget terus aku jadi lebih gampang belajar makasih ruangguru😘
85,"Assalamualaikum 🙏🙏 saya pake aplikasi ini sangat bagus Alhamdulillah aku tingkat juara 1 dari kelas , berkat aplikasi ini saya jadi belajar terus ,ayo yang belum download aplikasi ini sangat bagus untuk SD SMP AND SMA , let's subscribe to the good teacher room application for SD SMP SMA"
86,Wah ruang guru bagus sekali dan dapat di mengerti dulu saya g bisa bahasa Inggris setelah mencoba ruang guru saya bisa bahasa Jerman wah pokoknya the best lah dan akhirnya saya bisa bahasa Jepang tq ruang guru sukses selalu:3
87,"Aplikasi yang sangat berguna dan bermanfaat,bisa membantu saat pelajaran di sekolah tidak di mengerti,mata pelajaran ada,gampang di mengerti,bisa dapat teman baru,dll (dan aplikasi ini membuat rengking saya naik) Aplikasi keren 🤩🤩👍🏻👍🏻"
88,Aplikasi ini bagus sekali untuk belajar.................................................................................................................... Tapi............ Bener hayyaa.... 🤣🤣🤣
89,Aplikasi ini cepat bikin pinter !!!!!!!!!!!!!!!! Tau gak yang belum download cepet download! Makasi ya Ruang Guru telah mengajari ku banyak hal aku sangat bersemangat untuk Ruang Guru di update
90,"Bagus banget ,,,gak nyesel aku berlangganan dulu aku itu benci banget pelajaran IPA. nah abis itu mamah aku saranin coba kamu berlangganan diruang guru dan benar setelah aku berlangganan malahan aku cinta banget sama pelajaran IPA😁. Terima kasih ruang guru sudah membuat aku cinta sama pelajaran IPA."
91,"Ruang guru keren banget, sampai di gunakan oleh negara lainnya, ruang guru emang the best, buan kalian yang kurang faham pelajaran di sekolah naahh........., Pake ruang guru aja, karena di sini pambelajaran jadi lebih seru dan ada fidio menarik"
92,Halo nama saya kansa ini pertamakali pakai ruang guru dari kelihatan apps ini memang terlihat bagus pas saya coba memang bagus dan mudah di mengerti terimakasih ruang guru tanpa app ini aku tidak akan pintar Sekali lagi terimakasih banget
93,"Over all,bagus banget sy rasa, mudah dipahami dn yah enak belajarnya dn lebih fleksibel, tapi tolong ruang guru saran saya utk mapel fisika kimia bahasanya jangan rumit dn berbelit² saya agak pusing utk mencerna kalimat yg di sampaikan,tapi sy salut utk mtk wajib dgn bahasa yg simple dn mudah di pahami,salam saya utk kak dhanar ya ruangguru. Thx"
94,Bagus appnya. Bener2 bagus karena berhasil mambuat bljr lebih seru dan ada soal2nya dan video pembelajarannya. Tapi klo mau lebih komplit harus langganan. Ruangguru emg bagus bgt dan gw saranin buat kalian yg lagi nyari app buat bljr.
95,"makasih ruang guru, sebelumnya mahamin materi susah banget, tapi di ruang guru langsung nyantol, pas banget buat sistem kebut belajar ni, H-seminggu utbk, semangatttt!!"
96,Bagus benget apl Ruang guru cepet pinter😂!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
97,Ruangguru ini bagus banget untuk kelas berapa aja kalian harus dowlod kalo engak dowlod kalian gak pinter dan susah ngerjain tugas dari sekolah kalo aku sekolah online kalo kalian sama gak kaya aku karena kita sekolah online ada virus covid-19 kalian harus jaga jarak ya
98,"Hai. Nama saya Mei kurnianingsih. Aplikasi ruang guru sangat membantu untuk proses belajar, adik saya yang awalnya malas banget jadi semangat untuk belajar karna materi di ruang guru menarik sekali dan tidak membuat bosan☺"
99,Aku suka banget belajar disini..... Konsep belajarnya seru dan nggak bikin bosan.....>[]< pokoknya seru banget deh!...... Salam hangat bagi semua tim ruangguru!
100,Assalamualaikum ruang guru ini bagus banget ya pemahaman nya gampang masuk ke otak dan ada Vidio gratis nya terimakasih ya sudah membuat aplikasi Ruang guru 👍 jadi stay at home gak sia sia deh Sukses Ruang Guru.🙏
101,"Alhamdulillah ga sia"" belajar bareng Ruangguru Alhamdulillah saya keterima SNMPTN, bingung harus gimana lagi intinya terimakasih banyak untuk Ruangguru dan semua tutor yang telah membantu dalam memahami setiap materi pelajaran, ayo yang belum langganan silakan buktikan sendiri Terimakasih banyak ruangguru"
102,Aplikasi ini bagus banget!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
103,"ruang guru membantu saya untuk bisa ikuti materi tentang ""tenang dimasa kritis, siapkan dana darurat dari sekarang"". sehingga saya bisa memahami bagaimana cara berinvestsi bagi pemula dengan cara mudah, terima kasih ruang guru."
104,"Halo kak, boleh gak di tambahin kelas bahasa Jepang di aplikasi ini? Soalnya saya pengen belajar bahasa Jepang tapi gak tau harus pake aplikasi apa. Terimakasih, semoga secepatnya ditambahkan kelas bahasa Jepang"
105,"Ruang guru ini bagus sekali sy cepat sekali pahamnya ... Tapi Sy mau sekali langganan,cumanya sy tidk mampu membanyarnya dalam kondisi sperti begini.. Jadi,sy cuma nonton video gratisnya saja Andai saja video gratisnya bnyk"
106,"asik banget belajar disini, kalo ngerjain tugas dan masih belum paham sama materinya bisa nonton video penjelasan disini dulu. thankyou ruangguru (*˘︶˘*).｡*♡"
107,"Aplikasi ruang guru ini sangat membantu siswa yang malas sekolah/males bangun pagi , di aplikasi ruang guru ini saya bisa belajar sambil rebahan, sangat membantu sekali saat saya malas skolah/bangun untuk pergi kesekolah!"
108,"Ruangguru kerennn, membantu bgt buat aku yang masih sekolah online, cara penyampaian materinya mudah dipahami jdi klo pas kelas online masih kurang paham sama penjelasan guru bisa bgt nih pke Ruangguru"
109,"Suka banget sama ruangguru, karena saat aku senggang aku gak tau apa yang mau kulakukan setelah download ruang guru aku bisa manfaatkan waktu kosong ku,yey waktu kosong ku tidak sia sia jadinya,thanks ruangguru."
