,Unnamed: 0,content,score
80,80,kadang penjelasan membingungkan,3
81,81,Gimana cara daftarnya😭,1
82,82,"penjelasannya sangat mudah di mengerti, rasanya seperti berinteraksi langsung dengan guru di sekolah. cuman beberapa ada yang kurang penjelasannya but overall bisa dimengerti, good job👍",5
83,83,Materi yang ada di panduan belajar menurut saya banyak yang terdapat salah pengetikan sehingga mungkin akan membuat sebagian orang menjadi bingung. Mohon diperbaiki dan dicek lagi satu satu panduan belajarnya agar tidak ada kekeliruan,4
84,84,"Maaf cuma kasih bintang 3, aslinya bagus banget, penjelasannya bisa saya mengerti, tapi terkadang ada beberapa penjelasan ditulis di papan tulisnya yang terhalangi oleh badan pengajarnya, jadi untuk beberapa video penjelasanya kurang bisa diterima bahkan kadang sampai tidak paham apa yang dijelaskan karena terhalang badan pengajarnya",3
85,85,intinya suka pake quipper,5
86,86,Bagus buat bljr Wkwkkwkwk,5
87,87,Makai koinnya gimana?,3
88,88,Akhirnya Nemu makasih min lumayan geratis lagi,5
89,89,Belum dicoba,1
90,90,sangat membantu,5
91,91,Aku mau daftar dan udah di isi semua tapi waktu proses akhir mau buat akun kenapa ngga bisanya tolong di perbaiki ya padahal jaringan saya baik baik saja,2
92,92,Aplikasinya lemot Tugas dari guru tidak bisa saya kerjakan karena tidak keluar setelah saya update versi baru malah semakin error setelah saya cek bukan jaringan saya. Bagaimana ini quipper???? Saya juga mau ganti pass ditolak terus email dikatakan tidak valid. Apa woy saya sudah kirim pesan email keluhan tapi juga tidak dibalas oleh pihak quipper.,1
93,93,"Haloo kenapa ya akhir²ini saya kesusahan dalam mendownload video pembelajarannya? padahal koneksi internet saya lancar. Mohon untuk diperbaiki sistemnya, karena saya lebih nyaman akses secara offline daripada online",4
94,94,"keren lah bisa membantu dalam proses belajar dan bisa di akses dimn pun. semoga kedepannya semakin banyak membantu anak-anak yang mau menghadapi UTBK. Dan juga melahirkan generasi-generasi yang berkulitas, cerdas, dan berprestasi, sukses terus Quipper. Selalu membantu kami dengan semua video-video pembelajaran yang ada, memudahkan kami juga dalam ikut tes PTN agar kami bisa masuk ke PTN yang kami dambakan 🙏😇 intinya sukses terus dan semoga saya juga bisa lolos PTN yang saya dambakan selama ini",5
95,95,"Ini knp ya, gk bisa buat download panduan belajar padahal sinyalnya bgus?? Tp selebihnya okelah buat quipper ini",3
96,96,"Sebenarnya aplikasi nya udah oke. Cuma yang bikin bete adalah pas ngerjain soal itu jawaban udah benar tapi malah di salahkan. Padahal di penjelasan nya juga udah bener. Jujur aja, itu nyebelin banget. Dan itu ga cuma sekali dua kali tapi hampir tiap soal pasti ada",3
97,97,"Makasih Quipper, saya jadi mudah belajarnya apalagi saya bisa berlatih soal - soal yang sulit - sulit dan pembahasannya lengkap banget🙂",5
98,98,"Sejauh ini puas banget pakek quipper untuk belajar apalagi pas daring"" gini, pelajaran suka ga nyambung ke otak, karna guru ngasih cuma gambar dan soal saja:( tapi untungnya aku ada quipper untuk belajar lewat Vidio dan ada latihan sesudahnya untuk mengasa kemampuan aku dalam memahami materi yang udah di tonton, sukses trus buat quipper kedepannya!!!",5
99,99,"Admin Quipper, aplikasi ku kenapa terus-terusan ada tulisan koneksi terputus (tulisan merah) gitu waktu muter video. Sering terganggu :( padahal aku lagi serius belajar sering terhenti karena masalah itu. Jaringan internetku bagus kok, buka aplikasi lain lancar, tapi kenapa hanya Quipper doang yang macet-macet gajelas 💔 Please Quipper, why you break my good mood while studying seriously😭",2
100,100,"Semoga terus maju untuk aplikasi Quipper. Dan saya menyarankan kepada admin mohon dibuat aksesibel juga buat teman-teman kita yang tunanetra, karena untuk yang menggunakan Quipper ini tidak hanya seseorang yang nondifabel saja tolong ya admin! 🙏🙏🙏",5
101,101,"saya senang belajar menggunakan Quipper, ada cara cepat nya dalam menghafal, mengisi waktu luang dengan melihat videonya, jika tidak mengerti ada master class nya bisa langsung tanya tutor, ya lebih senang nya saya mudah menguasai materinya dan cepat nangkap di pikiran saya",5
102,102,"Aplikasi bagus, aku baru coba tapi udah nyaman. Disana pembahasannya banyak, bisa kamu pilih. Ada juga video yang bisa kamu putar, atau download. Pastinya, belajar Daring kayak gini pasti seru! Thanks, Quipper!",5
103,103,"Assalamualaikum tanggapan saya mengenai aplikasi quipper ini adalah materi yang diberikan lengkap, ringkas, dan bisa diunduh terlebih bisa akses semua kelas. Latihan soal beragam. Ada video animasi juga. Durasi video pas. Semoga terus bisa berkembang dan semakin lengkap memenuhi kebutuhan belajar siswa.",5
104,104,"Saya dulu di SMP ada mas mas promosi quipper, ga ramah bgt, sombong nunjukin kekayaannya sama kepinterannya, saya bisik bisik sama teman saya langsung di marahin di bentak dan di sindir beberapa kali hingga saya malu sama teman"" saya xixi, kenangan yang tak terlupakan brou",1
105,105,"sangat membantu saya untuk memahami materi-materi sklh,karna video nya juga bisa diulang-ulang kapan pun kita mau,apalagi saya tipe anak yg nggk hrus bnr² mahami materi baru bisa ingat smpai kapan pun:)",5
106,106,"Aplikasi ini baguss banget dehh,,,saya sangat suka❤,buat kalian yang ingin mengetahui dan mendalami materi pembelajaran silahkan download aplikasi ini ! ""GAK ADA RUGINYA"" Thanks for developer 😁😊",5
107,107,Untuk aplikasinya Sudah bagus Namun ketika mengerjakan soal kenapa Gambar pada soalnya tidak muncul (bertuliskan Loading Image) Padahal jaringan handphone saya bagus. Untuk itu saya memohon agar Masalah Ini diselesaikan,4
108,108,Kenapa setiap ada soal gambar selalu ga bisa di buka padal jaringan saya bagus..tapi untuk keseluruhan good lah,4
109,109,"Terimakasih quipper sudah membantu dalam belajar, hanya saja kadang penjelasan ada yang tidak lengkap, tapi bagus sih di kasih ebooknya jdi tinggal baca baca, terus masalah update utbk tolong di tingkatkan lagi terimakasihhh...",4
110,110,"sangat membantu saya, terlebih sekarang masa pandemi di mana semua serba online jadi persiapan saya untuk melanjutkan pendidikan tdk terbatas meski kondisi seperti ini. Dengqn Quipper saya lebih senang mengakses video2 pembelajaran dan pemantapan untuk mengikuti SB dan UTBK. saya berharap bisa lulus dengan bantuan Quipper yang senantiasa bersama saya",5
111,111,"Tadi saya barusan upgrade Quipper nya.tapi sesudah upgrade tugas saya yang berbentuk gambar kok ga kebuka?padahal jaringan on, sebelum upgrade always bisa.ini kok ga??tolong perbaiki!! Sesudah upgrade malah kek gini!tolong ya!!ini tugas sekolah bagaimana caranya kalau soalnya ga keluar!!",1
112,112,"Note dari salah satu pengguna apk quipper : nama panduan belajar yang didownload gak auto berubah, semua namanya sama, panduan belajar yang sebelumnya sudah didownload isinya jadi ke rewrite materi yang lain.",2
113,113,"hai admin, kmren sy uda install apk quipper tp tdk sengaja teruninstall terus pas saya instal lagi st login kok kelas sy hilang semua terus udah saya coba masukin kode kelas saya kok malah nggk bisa masuk sih tulisannya kode salah pdhl kode udah bener kok, ini gmn ya",1
114,114,"gabisa buka tugas kalau belum di update, tapi waktu mau nge update di Play Store malah tertunda terus, padahal buat apk lainnya bisa. tugas saya jd numpuk",1
115,115,"kenapa quipper saya tugasnya ga bisa dibuka udah saya refresh loading terus, saya harus segera mengerjakan tugas karena tenggat waktu hari ini gimana dong, dimohon segera ada tindakan bantuan yaaa",2
116,116,aplikasi ny membantu banget materi yang di berikan lengkap dan memahamkan materi ny ringkas dan ada animasi² ny gitu aku beruntung banget download apl ini dan aku nggk nyesel dong hapus² game aku buat bersihin ruang penyimpanan aku agar apl ini bisa ke download aku suka bangett beruntung banget dech pokog ny ngga nyeselllllllll makasih quipers karna adanya apl ini bisa membantu banget karena masa pandemi ini semua harus online kn.sukses terus quippers,5
117,117,"Hai quiper saya baru pertama kali menggunakan apk quiper untuk belajar tetapi kenapa saat saya sedang berada di tengah² pelajaran jadi loading lama ya?padahal jaringan saya stabil,mohon di perbaiki lagi ya☺️🙏",5
118,118,Aps nya bagus tapi mau tanya bagaimana cara untuk bergabung di kelas? Tolong dijawab ya😇,5
119,119,"Trimakasih @Garena_indonesia,karena telah membuat apk pemblajaran yang sangat berguna untuk seluruh rakyat indonesia,and semoga Garena semakin maju kedepannya",5
120,120,"Quiper banyak masalah bug... tolong di perbaiki lagi, masalahnya.... tiba"" aja soalnya udah keisi sendiri padahal sya belum jawab mana itu soal ujian lagi sya jadi salah banyak😩😭😭 terus pas lagi ngejawab apknya keluar sendiri udah berapa kali kyk gitu kak.... Pokoknya Sya kecewa dgn apk ini😒😭 knp harus ini padahal googleclassroom ada.....😒",1
121,121,"Wooyy eror, nilai dapet bagus tapi aku pas nyampe ke guru cuma dapet nilai 20, paraah jauh nyaa, nyesel, kecewa,apalagi dah kls 12.",1
122,122,"aplikasinya udah bagus , materinya mudah di pahami tapi tolong di perbaiki bug nya, di salah satu video pembelajaran, videonya macet, tidak bisa di putar",5
123,123,"Aplikasinya sudah bagus, tapi ada kekurangan. Biasanya pembahasan soal mtk penulisannya gk sempurna jadi bingung gk bisa liat pembahasannya",4
124,124,trima kasih krn saya yg tdinya agak tdk mngrti mteri awal mtk tpi skrg sudh sdkit bisa mtk. saya harap panduan belajarnya bisa dilampirkan disemua mteri agar hanya dilihat diaplikasi quipper. soalnya saya tdk ada aplikasi pdf utk mmbukanya. trima ksih.,4
125,125,"saya heran sama ni apk misalnya pas ngerjain soal tak jawab soalnya ""a"" salah, pas ngulang lagi jawabanya ""a"" lagi malah bener??? ni apk kemasukan apa yakk??? 🙄🙄🙄",2
126,126,bener bener membantu kalau kalian intens mempelajari materinya sama mengerjakan latihan soalnya,5
127,127,"Tolong quiper diperbaiki knp jawaban soalnya yg gak kebuka yg gambar, gara2 itu saya asal aja jawab ya dan mengakibatkan nilai saya rendah, sekian dan terima gaji, semoga pandemi segera pergi, gasabar pengrn sekul lagi☺️",1
128,128,"untuk notifikasi tugas sekarang malah hilang, terus banyak tugas atau materi yang diberikan tidak bisa di buka mengapa bisa demikian?? mohon di perbaiki",2
129,129,Menurut saya aplikasi ini sangat membantu terlebih dimasa pandemi sekarang ini semua serba online jadi persiapan pendidikan saya jadi lebih baik,5
130,130,Aplikasi nya jelak banget!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi bohong aplikasinya bagus banget,5
131,131,Kenapa ya soal sama jawabannya enggak bisa ke buka padahal jaringan nya lancar terus apk nya jg udah di update,1
132,132,"Sahwa Pratiwi apk ini sangat membantu dlm proses belajar untuk sya, penjelasannya mudah di pahami dan juga memberikan solusi untuk lebih mudah mengingat pembelajaran tersebut",5
133,133,"Aplikasinya bagus parah dari nilai kuis 60 di pembahasan pertama,80 di pembahasan ke2,dan akhirnya 100 di pembahasan ke 3 seneng banget pake quipper,pokoknya makasi banget buat tentor yg udh ajarin,pembahasannya pun ngak tegang banget terus kadang juga tentornya ngelawak lucu deh pokoknya🤩😙",5
134,134,Kpd developer saya menemukan bug dimna dlm materi A banyak keluar soal materi B jadi nya nilai saya turun dan bisa2 saya gk naik kelas udah sih itu aja keluhan saya selebih nya bagus,4
135,135,"Min di pembahasan soal nya,kok gakedetect ya lambang lambang seperti Lamda,semunya berubah jadi kode kode(bahasa alien),kenapa ya??",1
136,136,"quipper sngat cocok jdi tmpt belajar, semua pelajaran yang sulit akan menjadi mudah di quipper terutama ada trik superrrnya, pokoknya sngat sngat mmbntu dlm belajar",5
137,137,"Kode sekolah nya itu apaya, soalnya saya suda lulus sekolah min mau buat akun quipper",1
138,138,penjelasannya cukup jelas materi yg diberikan juga sangat mudah dipahami,5
139,139,"banyak bug, apalagi masalah jaringan, sudah download pelajaran, namun pelajar tdk bisa diputar",3
140,140,"Tolong di perbaiki quipernya, gk bisa di buka tugasnya loading trs. Udh pakai wifi,data,vpn gk biaa.",1
141,141,Aplikasi ini sangat membantu. belajar jadi lebih seru dan lebih paham karena ada soal dan pembahasannya terimakasih quipper,5
142,142,Aplikasi Quipper nya sering log out sendiri atau keluar sendiri gituh..😐😥😐😥😐😥,3
143,143,"bagu sekali ini app asli dah, belajar geografi jadi paham ada solusi quippernya juga biar bisa mudah dipahamin makasih banyak lho quipper aku jadi bisa sampe² itu solusinya masih keinget 😃👍",5
144,144,Aku kok gak bisa login ya padahal Email sama sandinya dah bener. Malah minta update padahal udah di update.😤,1
145,145,"Aplikasi ini sangat membantu dan seru, karena saya cepat mengerti",5
146,146,alhamdulillah sgt membantu walaupun msih awl coba hehe.. tpi udh ckp bantu saya apalgi di fisika dan mtk💯👍,4
147,147,Kak Mia Syafrina kalau menjelaskan Soal langsung ditulis gk dikasih tau prosesnya dari mana kemana bikin bingung,3
148,148,seneng banget belajar di quipper penuh dengan pembahasan soal soal SBMPTN jadi alhamdulillah sangat membantu.,5
149,149,"sangat membantu untuk belajar apa lagi disaat pandemi seperti sekarang, penjelasan yang belum pernah dijelaskan disekolah jadi bisa dipahami di sini",5
150,150,"fiturnya bagus banget , saya yg dulunya payah sekali bljr matematika sekarang lebih mudah bljrnya karena cara rumus matematika lebih senang ☺️👍",5
151,151,aplikasi burik mau daftar aja g bisa tolong dibantu!!! orang udah download habisin kuota,2
152,152,Kok mau Download modulnya susah yaa:( tolong dong pihak Quipper:(,4
153,153,Luar biasa bangat gak tau kenapa saya nyaman banget belajar di Quipper karena penyampaian nya kali ya😀😀😀pokoknya is the best 💪💪💪,5
154,154,Pengajar sih enak mudah dimengerti cuma yang bikin kesel nya ada masalah bug gitu kadang gambar nya di soal gak terlihat,4
155,155,"Aplikasinya membantu banget, apalagi bbrp ada SUPER nya jadi lebih paham sama materinya, terimakasih ya..",5
156,156,sangat membantu sekaliiiiiii dalam mengerjakan tugasssssskuuuuuu yg imoets nan comel sampai kadang2 bikin pusing kepala ku memikirkan tugas aku yg selalu terus dihantuinya,5
157,157,Mahal. Susah masuk di otak juga materi nya. Dah lah nyesal pokoknya. Mending bimble online sebelah 😭,1
158,158,"Mohon yg nyiptain ni aplikasi bunuh dia,kalo dah mati,bunuh generasinya,kami sumpek",1
159,159,"Ahhh, Interfacenya bikin bingung, materinya gak berurutan, kadang gambar di soal gak bisa kebuka. Koneksi internet lancar tapi terus di sangka offline.",3
160,160,"tolong disesuaikan sesuai materi kurikulum terbaru ya kakk, masi ada yg suka beda sama materi disekolah :)",4
161,161,"Trimakasih atas responya yg cukup cepat,kini akun saya tlah pulih dan bisa memngikuti plajaran kembali.",5
162,162,"bagusss,tapi masalahnya napa sering update,baru ngapdate tangga 4 februari,sekrng tanggal 7 februari harus di update lagi,tapi apk nya bagusss kokk",4
163,163,"harga terjangkau, materi yang di dapat mudah dipahami",5
164,164,saya sangat senang belajar dengan apk ini karena saya bisa memahami dengan mudah setiap pelajaran,5
165,165,"Hallo min slmt pgii,quipper saya knp ya?ko setelah di update malah gabisa liat tugas?padahal jaringan bagus",1
166,166,Ini knp ya tiap minggu harus di update Tolong dong kk diperbaiki Masa tiap minggu harus saya update,3
167,167,dengan ada nya quipper menjadi membantu belajar saya di rumah menjadi maksimal dan bersemangat,5
168,168,Bagus sih penyampaian materi nya tapi rada kurang masuk ke otak gituu coba tambahin animasi atau apa gitu biar ga monoton papantulis hehe,4
169,169,Gimana cara daftarnya si? Terjadi kendala mulu padahal sinyal 4G. TOLONG BANTU KAKK,1
170,170,sangat membantu memudahkan saya untuk memahami materi karena penjelasan nya sangat membantu,5
171,171,Belajar dari youtube videonya mudah dipelajari pas daftar eh gak bisa mulu kenapa itu?,4
172,172,"Applikasinya bagus banget, tapi kenapa gambar di quisnya ga keliatan ya ka :'-?",4
173,173,bagus buat alat pelajar yg lebih simple dan mudah,4
174,174,kenapa tiap mau masuk minta di update trus kalau udah besok besoknya minta update lagi gimanasih,1
